Player Name,Presenze Totali,Gol,Assist,Sostituito In,Sostituito Out,Cartellino Giallo,Cartellino Rosso,Gol su Rigore,Gol per Minuti,Minuti Giocati,Presenze in Nazionale,Gol in Nazionale,Assist in Nazionale,Sostituito In (Nazionale),Sostituito Out (Nazionale),Cartellino Giallo in Nazionale,Cartellino Rosso in Nazionale,Gol su Rigore in Nazionale,Gol per Minuti in Nazionale,Minuti Giocati in Nazionale
Giuseppe Meazza,492,307,3,70,92,0,6,16,143',43.977',53,33,0,7,8,0,0,3,147',4.860'
Silvio Piola,612,320,7,4,1,0,6,26,171',54.615',34,30,0,6,4,0,0,1,103',3.090'
Roberto Baggio,604,277,152,62,144,31,2,93,172',47.636',56,27,14,11,16,3,0,7,152',4.099'
Alessandro Del Piero,777,316,184,168,257,57,0,70,170',53.841',91,27,11,30,43,5,0,6,191',5.152'
Adolfo Baloncieri,276,144,10,70,92,0,2,9,172',24.745',47,25,0,7,8,0,0,1,170',4.260'
Filippo Inzaghi,624,288,46,155,189,38,1,15,149',43.013',57,25,4,15,25,0,0,2,141',3.519'
Alessandro Altobelli,643,266,10,29,58,7,1,41,207',55.128',61,25,2,17,18,0,0,2,168',4.212'
Christian Vieri,476,236,34,112,102,49,6,25,141',33.236',49,23,4,3,26,4,0,0,151',3.467'
Francesco Graziani,534,181,9,26,49,2,5,5,251',45.448',64,23,0,7,9,2,0,1,211',4.845'
Sandro Mazzola,566,162,13,2,13,0,0,17,313',50.625',70,22,3,2,10,0,0,1,263',5.795'
Paolo Rossi,340,134,29,15,61,1,0,26,213',28.487',48,20,5,7,13,1,0,4,193',3.854'
Roberto Bettega,515,192,10,11,53,2,0,6,232',44.477',42,19,0,4,8,0,1,0,178',3.385'
Alberto Gilardino,643,232,67,147,164,64,1,18,195',45.143',57,19,5,17,30,1,0,0,165',3.143'
Luca Toni,650,301,86,77,166,85,3,23,167',50.403',47,16,3,14,23,4,0,0,176',2.810'
Gianluca Vialli,673,259,48,58,114,36,4,34,213',55.046',59,16,3,10,13,2,1,0,274',4.378'
Julio Libonatti,270,166,0,70,92,0,0,3,146',24.300',17,15,0,7,8,0,0,0,102',1.530'
Angelo Schiavio,361,252,1,29,40,0,3,1,128',32.220',21,15,0,3,1,0,0,0,127',1.910'
Gino Colaussi,391,75,0,70,92,0,9,5,460',34.485',26,15,0,7,8,0,0,0,156',2.340'
Raimundo Orsi,194,85,2,70,92,0,4,16,203',17.275',35,13,0,7,8,0,0,0,247',3.210'
Pierluigi Casiraghi,404,107,27,96,67,34,5,2,268',28.697',44,13,3,11,12,4,0,0,218',2840'
Virgilio Levratto,342,146,3,70,92,0,3,10,209',30.573',28,11,0,7,8,0,0,0,232',2.550'
Antonio Di Natale,688,302,80,115,237,45,4,44,169',51.007',42,11,5,17,17,0,0,0,207',2.276'
Riccardo Carapellese,347,120,6,70,92,0,1,0,260',31.140',16,10,1,7,8,0,0,0,144',1.440'
Gianfranco Zola,677,206,71,81,217,17,0,25,250',51.554',35,10,7,9,12,1,1,0,229',2.294'
Antonio Cassano,515,139,117,119,185,58,3,12,253',35.125',39,10,4,9,24,2,0,0,244',2.439'
Gino Rossetti,426,187,0,70,92,0,1,6,205',38.345',13,9,0,7,8,0,0,0,133',1.200'
Graziano Pellè,501,187,62,121,86,67,4,15,189',35.283',20,9,1,2,9,3,0,0,164',1.472'
Roberto Boninsegna,582,258,6,10,21,8,2,38,199',51.309',22,9,2,1,2,3,0,0,215',1.938'
Francesco Totti,783,307,206,106,227,132,11,84,194',59.432',58,9,25,12,25,9,0,2,425',3.824'
Annibale Frossi,164,52,0,70,92,0,0,0,285',14.820',5,8,0,7,8,0,0,0,64',510'
Omar Sívori,326,180,2,4,1,1,6,10,162',29.150',9,8,1,6,4,0,0,0,101',810'
Ezio Pascutti,331,144,1,1,4,0,3,0,204',29.417',17,8,0,1,5,0,1,0,156',1.248'
Amedeo Biavati,266,68,0,70,92,0,2,1,351',23.860',18,8,0,7,8,0,0,0,203',1.620'
Fabrizio Ravanelli,549,206,54,88,139,67,2,28,198',40.775',22,8,1,7,6,1,0,1,172',1.374'
Raffaele Costantino,292,91,0,70,92,0,1,4,288',26.220',23,8,0,7,8,0,0,0,259',2.070'
Pietro Anastasi,509,170,6,23,51,3,1,8,253',42.971',25,8,1,6,5,2,0,0,215',1.723'
Fabio Quagliarella,717,238,61,169,244,68,4,39,204',48.553',28,8,5,18,6,1,0,2,138',1.104'
Leopoldo Conti,265,77,6,29,40,0,2,2,309',23.788',31,8,0,3,1,0,0,0,343',2.746'
Giampiero Boniperti,465,185,10,64,81,1,4,2,225',41.580',38,8,1,3,2,0,0,0,414',3.311'
Giovanni Moscardini,31,11,0,70,92,0,0,0,254',2.790',9,7,0,7,8,0,0,0,116',810'
Amedeo Amadei,477,200,5,4,1,0,0,12,214',42.896',13,7,2,6,4,0,0,1,167',1.170'
Pierino Prati,354,157,47,5,24,1,0,12,196',30.741',14,7,0,5,11,0,0,0,189',1.320'
Salvatore Schillaci,384,159,18,15,79,34,2,10,206',32.709',16,7,1,4,3,0,0,1,170',1.188'
Enrico Chiesa,592,213,76,77,252,37,2,34,204',43.420',17,7,1,12,5,1,0,0,94',661'
